transaction_id,transaction_date,amount,transaction_type,merchant_name,category,account_type,location,currency,description
1,2/27/2022,4834.91,withdrawal,Browsetype,groceries,credit card,Kalapagada,IDR,primis in faucibus orci luctus et ultrices posuere cubilia curae donec
2,2/24/2022,5591.77,deposit,Feednation,utilities,savings,Yên Lập,VND,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius
3,2/15/2022,2665.33,transfer,Reallinks,transportation,savings,Biguaçu,BRL,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras
4,2/11/2022,70.29,withdrawal,Chatterpoint,groceries,checking,Oliveira de Baixo,EUR,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec
5,2/19/2022,3737.72,withdrawal,Browsebug,entertainment,savings,Vacha,RUB,at velit eu est congue elementum in hac habitasse platea dictumst morbi
6,2/6/2022,2673.72,withdrawal,Avavee,groceries,credit card,Gondar,ETB,a libero nam dui proin leo odio porttitor id consequat in consequat
7,2/21/2022,6338.68,deposit,Reallinks,transportation,savings,San Antonio de Los Altos,VEF,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed
8,2/3/2022,1559.28,deposit,Zooxo,transportation,checking,Rosmalen,EUR,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et
9,2/5/2022,2168.14,deposit,Tanoodle,groceries,savings,Hongxing,CNY,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis
10,2/15/2022,4904.02,deposit,Feedspan,groceries,credit card,Karang Daye,IDR,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt
11,2/22/2022,9174.93,deposit,Skiba,utilities,credit card,Tayang,CNY,in eleifend quam a odio in hac habitasse platea dictumst maecenas
12,2/27/2022,5865.49,transfer,Eare,groceries,checking,Hartford,USD,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id
13,2/19/2022,3144.05,deposit,Thoughtbeat,utilities,checking,El Zapotal del Norte,HNL,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus
14,2/7/2022,2053.52,deposit,Jazzy,utilities,savings,El Real,VEF,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel
15,2/26/2022,9843.19,withdrawal,Fadeo,groceries,savings,Kan’onjichō,JPY,porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in
16,2/9/2022,3546.6,withdrawal,Kwilith,groceries,checking,Al Mashāf,YER,in felis donec semper sapien a libero nam dui proin leo odio
17,2/21/2022,2724.76,withdrawal,Youtags,transportation,checking,Nanjing,CNY,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci
18,2/15/2022,7678.95,withdrawal,Devify,entertainment,credit card,Villarrica,CLP,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in
19,2/25/2022,2610.54,deposit,Youtags,entertainment,savings,Sélestat,EUR,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit
20,2/18/2022,9609.65,withdrawal,Skipfire,entertainment,credit card,Fylí,EUR,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum
21,2/1/2022,9417.03,transfer,Photobug,utilities,checking,Alcaria da Serra,EUR,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem
22,2/3/2022,5584.4,withdrawal,Yambee,utilities,credit card,Mezhevoy,RUB,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut
23,2/6/2022,477.97,transfer,Skyba,entertainment,checking,Mashava,ZWL,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl
24,2/20/2022,743.32,withdrawal,Realfire,transportation,savings,Västanfjärd,EUR,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel
25,2/9/2022,5922.43,deposit,Brainbox,utilities,credit card,Baghlān,AFN,vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing
26,2/17/2022,414.41,withdrawal,Meembee,transportation,credit card,Thạnh Hóa,VND,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor
27,2/18/2022,3824.54,withdrawal,Tanoodle,groceries,savings,San Andres,PHP,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget
28,2/22/2022,3902.42,deposit,Katz,utilities,savings,Nagiba,PHP,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum
29,2/17/2022,5423.16,withdrawal,Eamia,entertainment,savings,Leština,CZK,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis
30,2/6/2022,4852.24,deposit,Rhyloo,entertainment,credit card,Ala-Buka,KGS,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus
31,2/16/2022,2304.04,transfer,Fliptune,groceries,savings,Correntina,BRL,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate
32,2/25/2022,9390.09,withdrawal,Twimbo,transportation,credit card,Tuanlin,CNY,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed
33,2/8/2022,7892.18,deposit,Eidel,entertainment,savings,Paderne,EUR,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus
34,2/23/2022,6831.58,transfer,Skinix,groceries,savings,Guojiaba,CNY,porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie
35,2/17/2022,5726.77,withdrawal,Photobug,utilities,checking,Slovenj Gradec,EUR,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui
36,2/18/2022,9803.35,transfer,Mycat,utilities,savings,Lyublino,RUB,sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis
37,2/22/2022,6657.86,deposit,Zooveo,groceries,checking,Bukbatang,IDR,consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in
38,2/9/2022,3541.54,withdrawal,Skyvu,entertainment,checking,Gayam,IDR,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id
39,2/5/2022,8983.29,deposit,Teklist,groceries,savings,Marcara,PEN,consequat morbi a ipsum integer a nibh in quis justo maecenas
40,2/24/2022,6313.28,transfer,Dabshots,groceries,savings,Oslo,NOK,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient
41,2/16/2022,2613.15,withdrawal,Realcube,transportation,savings,Fangyan,CNY,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar
42,2/2/2022,60.68,withdrawal,Twitterbridge,entertainment,credit card,Předklášteří,CZK,sed magna at nunc commodo placerat praesent blandit nam nulla
43,2/21/2022,5798.41,transfer,Youbridge,entertainment,savings,Balite,PHP,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper
44,2/16/2022,9351.25,deposit,Tazzy,transportation,credit card,Bom Jesus dos Perdões,BRL,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam
45,2/21/2022,8985.63,withdrawal,Quire,transportation,checking,Nishiwaki,JPY,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque
46,2/8/2022,6741.31,transfer,Buzzdog,utilities,credit card,Stockholm,SEK,cursus id turpis integer aliquet massa id lobortis convallis tortor risus
47,2/13/2022,1055.63,withdrawal,Ooba,entertainment,checking,Xianxi,CNY,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis
48,2/10/2022,6207.08,deposit,Flipbug,utilities,checking,Richmond,USD,eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst
