transaction_id,transaction_date,amount,transaction_type,merchant_name,category,account_type,location,currency,description
1,4/11/2022,9321.46,withdrawal,Gabspot,entertainment,credit card,Verkhniye Achaluki,RUB,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium
2,4/22/2022,1134.82,deposit,Meetz,groceries,checking,Yubilyeyny,BYR,tortor risus dapibus augue vel accumsan tellus nisi eu orci
3,4/21/2022,5870.38,transfer,Flashspan,groceries,credit card,Ebebiyin,XAF,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus
4,4/5/2022,4036.48,withdrawal,Fivebridge,transportation,savings,Yanqi,CNY,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo
5,4/11/2022,1963.64,deposit,Jaxbean,transportation,credit card,Dokolo,UGX,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl
6,4/18/2022,6845.8,withdrawal,Thoughtbridge,entertainment,checking,Vila Franca do Campo,EUR,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula
7,4/21/2022,8954.82,transfer,Bluejam,transportation,credit card,Midland,USD,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum
8,4/20/2022,2401.92,transfer,Quamba,entertainment,checking,Lidköping,SEK,consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer
9,4/2/2022,2681.49,withdrawal,Wordpedia,transportation,savings,Narew,PLN,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac
10,4/8/2022,9655.3,deposit,Youspan,transportation,credit card,Gur’yevsk,RUB,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et
11,4/28/2022,5735.58,withdrawal,Voomm,groceries,savings,Santa Ana,VEF,pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper
12,4/24/2022,4014.06,transfer,Oyonder,entertainment,savings,Haninge,SEK,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero
13,4/18/2022,3085.43,withdrawal,Topdrive,utilities,credit card,Dobra,PLN,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum
14,4/9/2022,2105.96,deposit,Thoughtmix,groceries,checking,Kampungmasjid,IDR,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus
15,4/5/2022,527.73,deposit,Tagopia,entertainment,credit card,Setanggor,IDR,nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum
16,4/26/2022,7621.38,withdrawal,Agivu,transportation,checking,Nairobi,KES,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum
17,4/24/2022,8779.59,withdrawal,Jaxspan,transportation,savings,Baras,PHP,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse
18,4/21/2022,1947.71,deposit,Yakidoo,utilities,credit card,Sączów,PLN,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare
19,4/2/2022,8574.1,deposit,Vitz,entertainment,checking,Bunobogu,IDR,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam
20,4/2/2022,3626.62,withdrawal,Yakidoo,utilities,credit card,Batulayang,IDR,vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque
21,4/29/2022,6499.74,deposit,Jaloo,entertainment,credit card,Safotu,WST,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis
22,4/5/2022,838.5,withdrawal,Feedfire,transportation,credit card,Cincinnati,USD,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede
23,4/5/2022,3719.62,deposit,Tagfeed,transportation,credit card,Saki,NGN,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in
24,4/20/2022,5934.68,transfer,Bubblebox,groceries,savings,Kromy,RUB,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac
25,4/11/2022,4797.93,transfer,Aibox,entertainment,credit card,Nanchangshan,CNY,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras
26,4/10/2022,5413.31,transfer,Rhyloo,utilities,savings,Santa Ana,ARS,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet
27,4/27/2022,9717.07,withdrawal,Jayo,utilities,savings,Oslo,NOK,arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in
28,4/24/2022,4620.31,transfer,Oyoyo,groceries,checking,Benito Juarez,MXN,odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar
29,4/17/2022,4362.92,withdrawal,Photobug,utilities,checking,Huogezhuang,CNY,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum
30,4/10/2022,5731.4,withdrawal,Mycat,groceries,credit card,Xiawuqi,CNY,sollicitudin ut suscipit a feugiat et eros vestibulum ac est
31,4/27/2022,6161.46,deposit,Tagcat,entertainment,savings,Hamilton,BMD,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue
32,4/25/2022,6903.02,transfer,Jabberbean,entertainment,checking,Hanjia,CNY,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce
33,4/24/2022,87.8,withdrawal,Wikibox,transportation,savings,Infanta,PHP,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus
34,4/8/2022,6622.71,deposit,Fadeo,transportation,savings,Baiyangwan,CNY,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis
35,4/20/2022,9790.57,transfer,Voonte,utilities,savings,Daxi,CNY,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate
36,4/7/2022,4229.63,withdrawal,Tazzy,groceries,checking,Wakefield,JMD,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet
37,4/13/2022,7827.16,transfer,Gabcube,entertainment,savings,Pagarbatu,IDR,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non
38,4/18/2022,2549.72,withdrawal,Tagfeed,utilities,checking,Sonsón,COP,lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst
39,4/9/2022,4087.4,transfer,Babbleopia,groceries,checking,Sinait,PHP,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy
40,4/7/2022,7030.85,deposit,Skimia,entertainment,checking,Ladário,EUR,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat
41,4/27/2022,1366.43,withdrawal,Babbleopia,groceries,checking,Ouro Sogui,XOF,ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum
42,4/14/2022,8739.67,transfer,Dynabox,utilities,credit card,Rendeng,IDR,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean
43,4/20/2022,2463.47,transfer,Yata,utilities,checking,Saint-Péray,EUR,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra
44,4/1/2022,7120.03,deposit,Quamba,utilities,credit card,Moulay Yacoub,MAD,duis bibendum morbi non quam nec dui luctus rutrum nulla
45,4/5/2022,2267.14,withdrawal,Rhybox,transportation,checking,Kuching,MYR,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam
46,4/6/2022,7966.71,transfer,Yoveo,groceries,checking,Longfeng,CNY,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra
47,4/8/2022,8157.45,deposit,Mita,entertainment,savings,Sātkhira,BDT,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor
48,4/6/2022,7902.73,deposit,Photobean,utilities,checking,Siteía,EUR,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere
49,4/12/2022,305.45,withdrawal,Zoombeat,groceries,credit card,Salt Lake City,USD,tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis
50,4/24/2022,8590.6,withdrawal,Kayveo,entertainment,savings,Imari,JPY,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius
51,4/9/2022,6258.36,deposit,Zoovu,transportation,savings,Pau,EUR,est et tempus semper est quam pharetra magna ac consequat metus sapien ut
52,4/24/2022,6006.19,transfer,Flipbug,transportation,credit card,Tapilon,PHP,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam
53,4/8/2022,3195.53,transfer,BlogXS,transportation,checking,Itapuranga,BRL,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris
54,4/24/2022,4492.83,deposit,Skipfire,entertainment,credit card,Xianyan,CNY,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum
55,4/27/2022,710.28,withdrawal,Tagchat,entertainment,credit card,Sävedalen,SEK,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede
56,4/17/2022,6495.96,deposit,Zoomzone,utilities,savings,Bayan Tuohai,CNY,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget
57,4/27/2022,4173.05,transfer,Jaxworks,groceries,savings,Marseille,EUR,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam
58,4/11/2022,8772.54,transfer,Dabtype,entertainment,checking,Guachucal,COP,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem
59,4/4/2022,630.02,withdrawal,Teklist,groceries,credit card,Yaosai,CNY,tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante
60,4/8/2022,9243.35,transfer,Photolist,transportation,savings,Santai,CNY,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra
61,4/10/2022,3156.28,withdrawal,Myworks,groceries,credit card,Dulag,PHP,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque
62,4/4/2022,6273.93,deposit,Thoughtblab,utilities,checking,Yangpu,CNY,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem
63,4/8/2022,1040.74,withdrawal,Trunyx,transportation,credit card,São Sebastião do Caí,BRL,lobortis sapien sapien non mi integer ac neque duis bibendum morbi
64,4/19/2022,8979.59,deposit,Edgepulse,entertainment,credit card,Hostomice,CZK,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus
65,4/17/2022,4936.6,transfer,Zooxo,utilities,checking,Skövde,SEK,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in
66,4/5/2022,4871.4,deposit,Feedbug,entertainment,savings,Ploso Wetan,IDR,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla
67,4/27/2022,9481.31,deposit,Innotype,utilities,savings,Ystad,SEK,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut
68,4/8/2022,6700.61,withdrawal,Devshare,transportation,savings,Manat,PHP,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit
69,4/23/2022,6790.92,withdrawal,Topicstorm,entertainment,savings,Xiangdong,CNY,at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices
70,4/7/2022,2473.99,withdrawal,Lajo,groceries,checking,Macaé,BRL,quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu
71,4/18/2022,6882.65,transfer,Topiclounge,utilities,savings,Lincoln,USD,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum
72,4/2/2022,9868.53,withdrawal,Brainsphere,utilities,credit card,Kinloch,GBP,maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut
73,4/17/2022,592.29,withdrawal,Topdrive,utilities,credit card,Biyong,CNY,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec
74,4/1/2022,7868.58,withdrawal,Vimbo,entertainment,savings,Qiagai,CNY,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis
75,4/12/2022,50.44,deposit,Jetwire,groceries,savings,Angered,SEK,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut
76,4/2/2022,3532.55,withdrawal,Livepath,utilities,checking,Chengdong,CNY,neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo
77,4/11/2022,4964.34,transfer,Innojam,entertainment,savings,Ołpiny,PLN,justo aliquam quis turpis eget elit sodales scelerisque mauris sit
78,4/11/2022,2020.3,withdrawal,Yacero,utilities,savings,Krajan Ngrambingan,IDR,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum
79,4/9/2022,7225.74,transfer,Devify,groceries,credit card,Eshan,CNY,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede
80,4/8/2022,3227.37,deposit,Eadel,groceries,credit card,Manga,PHP,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum
81,4/26/2022,9467.9,withdrawal,Oozz,utilities,credit card,Căuşeni,MDL,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac
82,4/14/2022,9891.83,transfer,Twitterbridge,groceries,savings,Velká Bystřice,CZK,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget
83,4/22/2022,965.87,deposit,Mycat,transportation,savings,Qiagai,CNY,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam
84,4/21/2022,9300.53,deposit,Voolith,utilities,credit card,Sinarwangi,IDR,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit
85,4/15/2022,8883.82,deposit,Bubblebox,transportation,savings,Riđica,RSD,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in
86,4/4/2022,458.54,deposit,Avamba,groceries,savings,Henglian,CNY,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus
87,4/4/2022,5625.63,transfer,Meejo,entertainment,credit card,Spassk-Dal’niy,RUB,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus
88,4/9/2022,2127.24,transfer,Tagpad,transportation,savings,Al Hāshimīyah,ILS,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula
89,4/15/2022,2969.04,transfer,Wordware,groceries,credit card,Zhongshan,CNY,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta
90,4/7/2022,7600.49,deposit,Skyvu,groceries,savings,Kopparberg,SEK,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
91,4/18/2022,3760.31,transfer,Vinte,utilities,savings,Jovellar,PHP,sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis
92,4/8/2022,3112.32,withdrawal,Divanoodle,utilities,credit card,Hidalgo,MXN,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed
93,4/29/2022,5221.34,deposit,Jaloo,entertainment,checking,Mierzęcice,PLN,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh
94,4/15/2022,1519.18,withdrawal,Photolist,entertainment,credit card,Phanom Phrai,THB,mi sit amet lobortis sapien sapien non mi integer ac neque duis
95,4/19/2022,4812.13,withdrawal,Rhynoodle,utilities,savings,Shuigou’ao,CNY,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis
96,4/18/2022,3568.55,deposit,Voonix,entertainment,savings,Culianin,PHP,eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec
97,4/19/2022,5991.66,transfer,Flashpoint,utilities,checking,Zhelin,CNY,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum
98,4/25/2022,8155.48,transfer,Jabbertype,utilities,credit card,Mapinrea,IDR,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem
99,4/6/2022,9351.85,transfer,Dynazzy,transportation,savings,Jiangshan,CNY,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed
100,4/18/2022,9720.87,withdrawal,Skinix,entertainment,checking,Meizhuang,CNY,libero ut massa volutpat convallis morbi odio odio elementum eu
101,4/11/2022,8456.63,withdrawal,Thoughtworks,utilities,credit card,Wangdian,CNY,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede
102,4/10/2022,2145.02,deposit,Yabox,groceries,savings,Isojoki,EUR,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed
103,4/23/2022,9628.34,deposit,Edgeclub,entertainment,savings,Dushanbe,TJS,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in
104,4/24/2022,2634.83,deposit,Rooxo,entertainment,credit card,Palenggihan,IDR,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue
105,4/6/2022,177.75,deposit,Trupe,groceries,credit card,Emiliano Zapata,MXN,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique
106,4/3/2022,3240.7,withdrawal,Lazzy,transportation,checking,Álli Meriá,EUR,nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique
107,4/15/2022,7454.13,deposit,Zazio,transportation,credit card,Xiaoguai,CNY,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis
108,4/20/2022,477.77,deposit,Edgeify,utilities,savings,Nuwara Eliya,LKR,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id
