transaction_id,transaction_date,amount,transaction_type,merchant_name,category,account_type,location,currency,description
1,10/14/2022,4947.11,transfer,Abatz,entertainment,credit card,Ergong,CNY,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis
2,10/25/2022,1910.47,withdrawal,Twimbo,entertainment,checking,Lewolen,IDR,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper
3,10/4/2022,8360.07,withdrawal,Thoughtstorm,transportation,checking,Caigangan,PHP,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel
4,10/25/2022,9604.4,withdrawal,Abatz,entertainment,savings,Luka nad Jihlavou,CZK,vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit
5,10/17/2022,4144.94,transfer,Tagfeed,transportation,savings,Vierzon,EUR,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae
6,10/15/2022,2282.8,withdrawal,Yakijo,entertainment,checking,Pathum Rat,THB,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel
7,10/17/2022,3022.29,transfer,Yombu,groceries,checking,Noeltoko,IDR,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat
8,10/12/2022,5053.35,transfer,Divape,entertainment,credit card,Bueng Samakkhi,THB,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus
9,10/3/2022,6304.63,transfer,Wordtune,entertainment,credit card,Capalonga,PHP,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede
10,10/24/2022,5984.72,withdrawal,Meemm,utilities,credit card,Skała,PLN,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam
11,10/6/2022,8575.65,transfer,Midel,entertainment,checking,Canis,PEN,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis
12,10/10/2022,3520.7,withdrawal,Yoveo,entertainment,checking,Pakemitan,IDR,hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius
13,10/21/2022,9748.59,deposit,Jabberstorm,entertainment,checking,Bourges,EUR,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros
14,10/24/2022,5005.04,withdrawal,Zazio,groceries,savings,Сарај,MKD,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed
