transaction_id,transaction_date,amount,transaction_type,merchant_name,category,account_type,location,currency,description
1,12/30/2022,3481.75,withdrawal,Flashdog,groceries,checking,Bački Petrovac,RSD,sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper
2,12/29/2022,6358.04,withdrawal,Trudoo,utilities,credit card,Sungaimaja,IDR,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel
3,12/19/2022,9672.76,withdrawal,Gigashots,groceries,checking,Macaíba,BRL,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem
4,12/18/2022,9626.7,withdrawal,Rhyzio,utilities,credit card,Tudela,PHP,hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut
5,12/7/2022,1816.73,transfer,Tagcat,groceries,credit card,Maddarulug Norte,PHP,ut blandit non interdum in ante vestibulum ante ipsum primis in
6,12/9/2022,6659.72,deposit,Quatz,entertainment,savings,Soisy-sous-Montmorency,EUR,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl
7,12/24/2022,2355.64,deposit,Livefish,groceries,checking,Kuršumlija,RSD,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
8,12/3/2022,5909.83,transfer,Yombu,entertainment,checking,Alejandro Roca,ARS,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi
9,12/21/2022,2174.1,deposit,Jabberstorm,transportation,savings,Passagem,EUR,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
10,12/21/2022,3278.81,transfer,Gabcube,groceries,credit card,Sanqu,CNY,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper
11,12/16/2022,3480.46,deposit,Zoozzy,transportation,savings,Quemú Quemú,ARS,aliquam sit amet diam in magna bibendum imperdiet nullam orci
12,12/11/2022,9225.58,withdrawal,Ailane,utilities,savings,Zhongcheng,CNY,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis
13,12/15/2022,5014.44,deposit,Lajo,transportation,checking,Bīleh Savār,IRR,tellus in sagittis dui vel nisl duis ac nibh fusce lacus
14,12/29/2022,8042.56,deposit,Tavu,groceries,checking,Gaotang,CNY,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam
15,12/23/2022,9836.14,withdrawal,Skalith,utilities,credit card,Capivari,BRL,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl
16,12/15/2022,1634.66,deposit,Fadeo,entertainment,checking,Candelaria,ARS,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in
17,12/3/2022,4857.64,deposit,Topiczoom,utilities,credit card,Rimbo,SEK,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices
18,12/28/2022,5928.53,withdrawal,Roomm,entertainment,credit card,Oxelösund,SEK,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus
19,12/16/2022,193.0,transfer,Edgetag,utilities,credit card,Shiqiao,CNY,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam
20,12/11/2022,7614.93,transfer,Izio,utilities,checking,Kudirkos Naumiestis,LTL,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices
21,12/12/2022,630.01,transfer,Wikibox,utilities,savings,Illapel,CLP,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie
22,12/4/2022,4905.24,transfer,Yoveo,entertainment,savings,Zürich,CHF,vel sem sed sagittis nam congue risus semper porta volutpat quam pede
23,12/1/2022,6766.03,withdrawal,Wikido,utilities,checking,Hongyan,CNY,suspendisse ornare consequat lectus in est risus auctor sed tristique
24,12/21/2022,591.24,transfer,Myworks,groceries,credit card,Vareš,BAM,rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis
25,12/2/2022,5743.86,withdrawal,Skidoo,groceries,credit card,Krajan Selatan,IDR,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient
26,12/8/2022,5419.78,transfer,Blognation,utilities,credit card,Jing’an,CNY,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede
27,12/23/2022,9910.32,deposit,Flipstorm,groceries,savings,Sandovo,RUB,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi
28,12/27/2022,5484.62,transfer,Einti,transportation,savings,El Paso,USD,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor
29,12/6/2022,6194.16,transfer,Photolist,entertainment,credit card,Goléré,XOF,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui
30,12/18/2022,1601.97,withdrawal,Blogpad,utilities,credit card,Can-Avid,PHP,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis
31,12/29/2022,1147.91,deposit,Yodoo,utilities,savings,Utan,IDR,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna
32,12/18/2022,9047.37,withdrawal,Flashpoint,transportation,checking,Kauhava,EUR,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc
33,12/10/2022,1893.16,withdrawal,Bubbletube,utilities,savings,Trikora,IDR,at dolor quis odio consequat varius integer ac leo pellentesque
34,12/24/2022,7968.1,transfer,Zoomdog,groceries,savings,Sidamukti,IDR,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis
35,12/1/2022,5037.23,deposit,Youopia,utilities,credit card,Kimovsk,RUB,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst
