transaction_id,transaction_date,amount,transaction_type,merchant_name,category,account_type,location,currency,description
1,8/23/2022,4792.59,deposit,Gigaclub,groceries,checking,Lincheng,CNY,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate
2,8/6/2022,9866.72,deposit,Jaxbean,transportation,checking,Wierzchucino,PLN,varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
3,8/21/2022,7312.82,withdrawal,Jaxspan,entertainment,savings,Sondo,IDR,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi
4,8/12/2022,2404.58,transfer,Dabfeed,entertainment,checking,Noisy-le-Grand,EUR,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu
5,8/8/2022,5877.43,transfer,Rhynoodle,transportation,credit card,Debesy,RUB,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu
6,8/10/2022,8937.67,transfer,Oyope,transportation,checking,Jizhou,CNY,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non
7,8/17/2022,793.15,transfer,Twitternation,transportation,savings,Buchanan,LRD,non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus
8,8/17/2022,8650.8,deposit,Livetube,utilities,credit card,Plavsk,RUB,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem
9,8/9/2022,5061.44,withdrawal,Realcube,entertainment,savings,Mosteiro,EUR,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo
10,8/9/2022,5965.26,withdrawal,Jatri,entertainment,checking,Xiakou,CNY,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate
11,8/10/2022,5383.54,withdrawal,Dabvine,transportation,savings,Astorga,BRL,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
12,8/29/2022,8595.65,deposit,Realbridge,transportation,checking,Paldit,PHP,erat eros viverra eget congue eget semper rutrum nulla nunc purus
13,8/12/2022,9862.54,withdrawal,Yakijo,utilities,credit card,Tsuyama,JPY,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero
14,8/29/2022,7593.62,deposit,Linktype,entertainment,savings,Barrancabermeja,COP,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat
15,8/24/2022,4102.12,transfer,Latz,transportation,savings,Norrköping,SEK,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit
16,8/9/2022,5772.04,deposit,Flipopia,utilities,checking,Termas de Río Hondo,ARS,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce
17,8/27/2022,2886.45,transfer,Fivebridge,groceries,savings,Caraga,PHP,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer
18,8/3/2022,8966.86,deposit,Rhybox,groceries,credit card,Málaga,COP,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi
19,8/30/2022,4292.45,withdrawal,Babbleset,entertainment,credit card,Mikhaylov,RUB,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi
20,8/9/2022,5771.42,withdrawal,Tagopia,utilities,savings,Náklo,CZK,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit
21,8/27/2022,9868.94,transfer,Oloo,utilities,checking,At-Bashi,KGS,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis
22,8/8/2022,6579.71,withdrawal,Yoveo,utilities,checking,Borova,UAH,amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor
23,8/8/2022,9241.48,deposit,Minyx,transportation,checking,Talok,IDR,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui
